species,longitude,latitude
Amazona oratrix,-103.4575,18.344167
Amazona oratrix,-103.444167,18.344722
Amazona oratrix,-103.451389,18.343056
Amazona oratrix,-103.372222,18.283333
Amazona oratrix,-103.391944,18.32
Amazona oratrix,-102.801944,18.118333
Amazona oratrix,-103.395833,18.318611
Amazona oratrix,-103.390278,18.322222
Amazona oratrix,-102.756389,18.077222
Amazona oratrix,-103.684722,18.625556
Amazona oratrix,-103.684722,18.625556
Amazona oratrix,-102.673611,18.06
Amazona oratrix,-103.395,18.317222
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-103.441944,18.351389
Amazona oratrix,-103.391667,18.321944
Amazona oratrix,-103.398889,18.314444
Amazona oratrix,-103.458889,18.337778
Amazona oratrix,-103.4575,18.344167
Amazona oratrix,-103.453333,18.323056
Amazona oratrix,-103.397778,18.302778
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-103.398889,18.314444
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-103.452778,18.315833
Amazona oratrix,-102.819167,18.118889
Amazona oratrix,-103.391944,18.305556
Amazona oratrix,-102.146667,17.943333
Amazona oratrix,-103.328333,18.274722
Amazona oratrix,-103.46,18.3475
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-103.402222,18.311667
Amazona oratrix,-103.451389,18.343056
Amazona oratrix,-103.35,18.275
Amazona oratrix,-103.450556,18.340278
Amazona oratrix,-103.358333,18.341667
Amazona oratrix,-103.358333,18.341667
Amazona oratrix,-103.395833,18.319722
Amazona oratrix,-103.440556,18.35
Amazona oratrix,-103.328333,18.274722
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-103.398333,18.306389
Amazona oratrix,-103.241667,18.25
Amazona oratrix,-103.395,18.317222
Amazona oratrix,-103.397222,18.320833
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-103.448889,18.341111
Amazona oratrix,-102.783333,18.093889
Amazona oratrix,-103.4525,18.344722
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-103.241667,18.25
Amazona oratrix,-103.346667,18.269722
Amazona oratrix,-97.717,15.983
Amazona oratrix,-97.717,15.983
Amazona oratrix,-97.717,15.983
Amazona oratrix,-94.63,16.451
Amazona oratrix,-105.046111,19.500278
Amazona oratrix,-106.5955175,21.64138201
Amazona oratrix,-106.4375621,21.46778928
Amazona oratrix,-106.5645915,21.60191914
Amazona oratrix,-106.5645529,21.62585034
Amazona oratrix,-102.1071288,18.27917051
Amazona oratrix,-102.0244952,18.23936544
Amazona oratrix,-102.1262902,18.35875326
Amazona oratrix,-102.062818,18.31214495
Amazona oratrix,-102.083177,18.22002825
Amazona oratrix,-96.24837752,15.76516593
