species,longitude,latitude
Amazona oratrix,-97.848611,22.895
Amazona oratrix,-98.040278,23.561667
Amazona oratrix,-92.259222,18.388436
Amazona oratrix,-98.300083,21.700667
Amazona oratrix,-99.275556,21.799167
Amazona oratrix,-95.062167,17.136361
Amazona oratrix,-92.515532,18.620884
Amazona oratrix,-91.929096,17.662196
Amazona oratrix,-98.38,23.630278
Amazona oratrix,-92.749985,18.510789
Amazona oratrix,-98.558889,23.770833
Amazona oratrix,-92.176903,17.813113
Amazona oratrix,-92.211167,18.467962
Amazona oratrix,-97.838333,22.896389
Amazona oratrix,-92.241045,18.310631
Amazona oratrix,-92.299711,18.432711
Amazona oratrix,-99.363889,22.860556
Amazona oratrix,-92.236308,18.359334
Amazona oratrix,-91.794157,17.759904
Amazona oratrix,-99.250278,23.854167
Amazona oratrix,-95.043944,17.7745
Amazona oratrix,-95.043556,17.105389
Amazona oratrix,-91.56317,17.439552
Amazona oratrix,-94.747917,17.204167
Amazona oratrix,-93.022586,18.37227
Amazona oratrix,-98.440911,23.218978
Amazona oratrix,-98.483333,23.566667
Amazona oratrix,-98.135761,23.370886
Amazona oratrix,-98.375556,23.628056
Amazona oratrix,-99.0655147,22.96227918
Amazona oratrix,-98.103333,21.234722
Amazona oratrix,-98.25,21.835278
Amazona oratrix,-98.301667,21.615
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-99.25,23.795
Amazona oratrix,-99.23,24.033333
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-98.221667,21.838333
Amazona oratrix,-98.389722,21.546389
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-97.97,22.916667
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-98.37,21.72
Amazona oratrix,-97.97,22.916667
Amazona oratrix,-97.97,22.916667
Amazona oratrix,-98.25,21.835278
Amazona oratrix,-98.25,21.835278
Amazona oratrix,-98.25,21.835278
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-97.97,22.916667
Amazona oratrix,-98.221667,21.838333
Amazona oratrix,-98.0712884,22.89946702
Amazona oratrix,-98.334167,21.655
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-98.25,21.835278
Amazona oratrix,-98.221667,21.838333
Amazona oratrix,-97.847222,22.911111
Amazona oratrix,-91.967278,18.616351
Amazona oratrix,-97.892194,23.801917
Amazona oratrix,-92.46844,18.309979
Amazona oratrix,-98.912916,22.067209
Amazona oratrix,-98.804793,21.937907
Amazona oratrix,-91.874597,18.600821
Amazona oratrix,-91.978764,18.71206
Amazona oratrix,-92.585651,18.242149
Amazona oratrix,-94.51299404,18.09129354
Amazona oratrix,-91.61068662,17.81061508
Amazona oratrix,-91.50485662,17.88082641
Amazona oratrix,-91.59465177,17.86861773
