gbifID,Species,Latitude,Longitude
3306351655,Amazona oratrix,"18.55829117398502, -92.29520885469265",
3306351436,Amazona oratrix,"18.35699804063286, -91.91434817317946",
3306351331,Amazona oratrix,"18.611223726734888, -92.25388379540821",
3306351190,Amazona oratrix,"18.642975358827474, -92.25946826287908",
3306351129,Amazona oratrix,"18.315650840362245, -91.87414000331285",
3306350962,Amazona oratrix,"18.453436305545747, -91.75239861244792",
3306350951,Amazona oratrix,"18.439662719443845, -91.80154192638962",
3306350841,Amazona oratrix,"18.4375436081044, -92.17235056645521",
3306350792,Amazona oratrix,"18.279596501425285, -92.09863559597177",
3306350621,Amazona oratrix,"18.208526322179143, -92.09975248844277",
3306350435,Amazona oratrix,"18.18093903122326, -92.10980452989033",
3306350420,Amazona oratrix,"18.148040790230898, -92.0897004469952",
3306350390,Amazona oratrix,"18.616516078124143, -91.9925307142399",
3306350336,Amazona oratrix,"18.604872689753666, -92.0182192646059",
3306350311,Amazona oratrix,"18.622866681340696, -92.16676609933099",
3118243482,Amazona oratrix,17.757994,-88.550262
3079763303,Amazona oratrix,19.385589,-96.467125
3079690303,Amazona oratrix,19.314469,-96.555125
3079631304,Amazona oratrix,19.347976,-96.518156
2634613035,Amazona oratrix,18.3589,-95.361301
2630717339,Amazona oratrix,22.6,-100.683333
2630707540,Amazona oratrix,23.783333,-97.766667
2630697276,Amazona oratrix,17.858333,-91.996667
2629798606,Amazona oratrix,22.278611,-98.895278
2629797434,Amazona oratrix,22.227222,-98.951667
2629796788,Amazona oratrix,22.271389,-98.951667
2629796006,Amazona oratrix,22.278611,-98.894722
2629795719,Amazona oratrix,22.271111,-98.953055
2629795448,Amazona oratrix,22.2275,-98.950555
2629793580,Amazona oratrix,22.280833,-98.895
2620000030,Amazona oratrix,16.759315,-88.583464
2609123701,Amazona oratrix,18.452128,-92.572863
2609098983,Amazona oratrix,18.471951,-93.108454
2571359562,Amazona oratrix,,
2563569394,Amazona oratrix,22.913227,-97.800305
2563523315,Amazona oratrix,22.863761,-97.90951
2563519510,Amazona oratrix,22.953875,-97.811524
2563519315,Amazona oratrix,22.888473,-97.865495
2563519297,Amazona oratrix,22.810746,-97.952919
2563519258,Amazona oratrix,22.836414,-97.861459
2563518573,Amazona oratrix,22.945361,-97.891199
2563513113,Amazona oratrix,22.952471,-97.857802
2563511783,Amazona oratrix,22.94317,-97.808436
2563511230,Amazona oratrix,22.949719,-97.976117
2549995523,Amazona oratrix,17.686609,-88.642611
2429621379,Amazona oratrix,23.513261,-97.75485
2275308449,Amazona oratrix,16.1598,-88.763496
2275308363,Amazona oratrix,16.163401,-88.763901
2275307991,Amazona oratrix,16.1581,-88.763298
2275306828,Amazona oratrix,16.271799,-88.733002
2275306757,Amazona oratrix,16.2789,-88.731903
2275306724,Amazona oratrix,16.271799,-88.733002
2275306722,Amazona oratrix,16.2771,-88.732201
2275306706,Amazona oratrix,16.2736,-88.732803
2275306684,Amazona oratrix,16.271799,-88.733002
2275306296,Amazona oratrix,16.2736,-88.732803
2275306275,Amazona oratrix,16.280701,-88.731697
2275305604,Amazona oratrix,16.2789,-88.731903
2275305496,Amazona oratrix,16.280701,-88.731697
2275305487,Amazona oratrix,16.275299,-88.732498
2275305438,Amazona oratrix,16.2736,-88.732803
2275305395,Amazona oratrix,16.2736,-88.732803
2275289138,Amazona oratrix,16.370501,-88.5868
2275289096,Amazona oratrix,16.3752,-88.5923
2275289091,Amazona oratrix,16.371599,-88.588203
2275289081,Amazona oratrix,16.370501,-88.5868
2275289070,Amazona oratrix,16.374001,-88.590897
2275289047,Amazona oratrix,16.371599,-88.588203
2275289023,Amazona oratrix,16.3764,-88.593697
2275288985,Amazona oratrix,16.374001,-88.590897
2275288959,Amazona oratrix,16.3752,-88.5923
2275288958,Amazona oratrix,16.372801,-88.5895
2275288952,Amazona oratrix,16.3752,-88.5923
2275288936,Amazona oratrix,16.371599,-88.588203
2275288926,Amazona oratrix,16.3764,-88.593697
2275288923,Amazona oratrix,16.370501,-88.5868
2275288919,Amazona oratrix,16.370501,-88.5868
2275288897,Amazona oratrix,16.3764,-88.593697
2275288878,Amazona oratrix,16.3764,-88.593697
2275288861,Amazona oratrix,16.374001,-88.590897
2275288858,Amazona oratrix,16.3752,-88.5923
2275288857,Amazona oratrix,16.372801,-88.5895
2275288856,Amazona oratrix,16.370501,-88.5868
2275288850,Amazona oratrix,16.3764,-88.593697
2275288829,Amazona oratrix,16.3764,-88.593697
2275288819,Amazona oratrix,16.371599,-88.588203
2275288808,Amazona oratrix,16.372801,-88.5895
2275288777,Amazona oratrix,16.371599,-88.588203
2275288773,Amazona oratrix,16.374001,-88.590897
2275288768,Amazona oratrix,16.370501,-88.5868
2275288753,Amazona oratrix,16.370501,-88.5868
2275288746,Amazona oratrix,16.374001,-88.590897
2275288745,Amazona oratrix,16.372801,-88.5895
2275288738,Amazona oratrix,16.371599,-88.588203
2275288727,Amazona oratrix,16.371599,-88.588203
2275288723,Amazona oratrix,16.370501,-88.5868
2275288710,Amazona oratrix,16.374001,-88.590897
2275288703,Amazona oratrix,16.371599,-88.588203
2275288696,Amazona oratrix,16.372801,-88.5895
2275288640,Amazona oratrix,16.372801,-88.5895
2275288639,Amazona oratrix,16.370501,-88.5868
2275288633,Amazona oratrix,16.370501,-88.5868
2275288595,Amazona oratrix,16.371599,-88.588203
2275288540,Amazona oratrix,16.370501,-88.5868
2275288536,Amazona oratrix,16.3764,-88.593697
2275288447,Amazona oratrix,16.372801,-88.5895
2275288397,Amazona oratrix,16.371599,-88.588203
2275288393,Amazona oratrix,16.370501,-88.5868
2275288389,Amazona oratrix,16.372801,-88.5895
2275288370,Amazona oratrix,16.374001,-88.590897
2275288356,Amazona oratrix,16.370501,-88.5868
2275288341,Amazona oratrix,16.370501,-88.5868
2275288319,Amazona oratrix,16.374001,-88.590897
2275288316,Amazona oratrix,16.3764,-88.593697
2275288291,Amazona oratrix,16.374001,-88.590897
2275288286,Amazona oratrix,16.370501,-88.5868
2275288269,Amazona oratrix,16.374001,-88.590897
2275288268,Amazona oratrix,16.371599,-88.588203
2275288236,Amazona oratrix,16.370501,-88.5868
2275288225,Amazona oratrix,16.3752,-88.5923
2275288208,Amazona oratrix,16.370501,-88.5868
2275288170,Amazona oratrix,16.372801,-88.5895
2275288165,Amazona oratrix,16.370501,-88.5868
2275288160,Amazona oratrix,16.372801,-88.5895
2275288155,Amazona oratrix,16.3764,-88.593697
2275288152,Amazona oratrix,16.370501,-88.5868
2275288135,Amazona oratrix,16.3752,-88.5923
2275288108,Amazona oratrix,16.374001,-88.590897
2275288080,Amazona oratrix,16.370501,-88.5868
2275288043,Amazona oratrix,16.371599,-88.588203
2275288023,Amazona oratrix,16.3764,-88.593697
2275288019,Amazona oratrix,16.3764,-88.593697
2275288016,Amazona oratrix,16.374001,-88.590897
2275288007,Amazona oratrix,16.3752,-88.5923
2275287994,Amazona oratrix,16.371599,-88.588203
2275287987,Amazona oratrix,16.374001,-88.590897
2275287984,Amazona oratrix,16.3764,-88.593697
2275287983,Amazona oratrix,16.370501,-88.5868
2275287979,Amazona oratrix,16.3764,-88.593697
2275287976,Amazona oratrix,16.3752,-88.5923
2275287966,Amazona oratrix,16.3752,-88.5923
2275287963,Amazona oratrix,16.372801,-88.5895
2275287957,Amazona oratrix,16.371599,-88.588203
2275287941,Amazona oratrix,16.3764,-88.593697
2275287936,Amazona oratrix,16.3752,-88.5923
2275287916,Amazona oratrix,16.3764,-88.593697
2275287912,Amazona oratrix,16.3752,-88.5923
2275287881,Amazona oratrix,16.370501,-88.5868
2275287873,Amazona oratrix,16.3752,-88.5923
2275287872,Amazona oratrix,16.372801,-88.5895
2275287869,Amazona oratrix,16.370501,-88.5868
2275287858,Amazona oratrix,16.371599,-88.588203
2275287838,Amazona oratrix,16.372801,-88.5895
2275287836,Amazona oratrix,16.371599,-88.588203
2275287821,Amazona oratrix,16.374001,-88.590897
2275287806,Amazona oratrix,16.3764,-88.593697
2275287792,Amazona oratrix,16.370501,-88.5868
2275287758,Amazona oratrix,16.374001,-88.590897
2275287752,Amazona oratrix,16.3752,-88.5923
2275287689,Amazona oratrix,16.370501,-88.5868
2275287684,Amazona oratrix,16.3752,-88.5923
2275287677,Amazona oratrix,16.371599,-88.588203
2275287650,Amazona oratrix,16.372801,-88.5895
2275287646,Amazona oratrix,16.371599,-88.588203
2275287594,Amazona oratrix,16.370501,-88.5868
2275287556,Amazona oratrix,16.372801,-88.5895
2275287551,Amazona oratrix,16.372801,-88.5895
2275287545,Amazona oratrix,16.370501,-88.5868
2275287524,Amazona oratrix,16.374001,-88.590897
2275287493,Amazona oratrix,16.3764,-88.593697
2275287477,Amazona oratrix,16.371599,-88.588203
2275287462,Amazona oratrix,16.372801,-88.5895
2275287427,Amazona oratrix,16.370501,-88.5868
2275287408,Amazona oratrix,16.3752,-88.5923
2275287373,Amazona oratrix,16.371599,-88.588203
2275287353,Amazona oratrix,16.3764,-88.593697
2275287341,Amazona oratrix,16.371599,-88.588203
2275287331,Amazona oratrix,16.370501,-88.5868
2275287312,Amazona oratrix,16.3752,-88.5923
2275287306,Amazona oratrix,16.370501,-88.5868
2275287302,Amazona oratrix,16.3764,-88.593697
2275287298,Amazona oratrix,16.370501,-88.5868
2275287289,Amazona oratrix,16.371599,-88.588203
2275287249,Amazona oratrix,16.3764,-88.593697
2275287237,Amazona oratrix,16.371599,-88.588203
2275287229,Amazona oratrix,16.3752,-88.5923
2275287225,Amazona oratrix,16.374001,-88.590897
2275287222,Amazona oratrix,16.3764,-88.593697
2275287221,Amazona oratrix,16.371599,-88.588203
2275287217,Amazona oratrix,16.3752,-88.5923
2275287216,Amazona oratrix,16.370501,-88.5868
2275287197,Amazona oratrix,16.370501,-88.5868
2275287160,Amazona oratrix,16.374001,-88.590897
2275287128,Amazona oratrix,16.370501,-88.5868
2275287117,Amazona oratrix,16.372801,-88.5895
2275287101,Amazona oratrix,16.374001,-88.590897
2275287100,Amazona oratrix,16.3752,-88.5923
2275287091,Amazona oratrix,16.374001,-88.590897
2275287079,Amazona oratrix,16.370501,-88.5868
2275287074,Amazona oratrix,16.374001,-88.590897
2275287073,Amazona oratrix,16.370501,-88.5868
2275287066,Amazona oratrix,16.3752,-88.5923
2275287065,Amazona oratrix,16.374001,-88.590897
2275287061,Amazona oratrix,16.372801,-88.5895
2275287060,Amazona oratrix,16.372801,-88.5895
2275287057,Amazona oratrix,16.3764,-88.593697
2275287040,Amazona oratrix,16.374001,-88.590897
2275287011,Amazona oratrix,16.370501,-88.5868
2275287002,Amazona oratrix,16.372801,-88.5895
2275286996,Amazona oratrix,16.371599,-88.588203
2275286984,Amazona oratrix,16.370501,-88.5868
2275286980,Amazona oratrix,16.372801,-88.5895
2275286966,Amazona oratrix,16.3752,-88.5923
2275286964,Amazona oratrix,16.3764,-88.593697
2275286962,Amazona oratrix,16.371599,-88.588203
2275286941,Amazona oratrix,16.3752,-88.5923
2275286915,Amazona oratrix,16.372801,-88.5895
2275286914,Amazona oratrix,16.374001,-88.590897
2275286905,Amazona oratrix,16.3764,-88.593697
2275286875,Amazona oratrix,16.372801,-88.5895
2275286864,Amazona oratrix,16.374001,-88.590897
2275286837,Amazona oratrix,16.372801,-88.5895
2275286818,Amazona oratrix,16.372801,-88.5895
2275286807,Amazona oratrix,16.371599,-88.588203
2275286804,Amazona oratrix,16.372801,-88.5895
2275286784,Amazona oratrix,16.370501,-88.5868
