gbifID,Species,Longitude,Latitude
3118243482,Amazona oratrix,-88.550262,17.757994
3079763303,Amazona oratrix,-96.467125,19.385589
3079690303,Amazona oratrix,-96.555125,19.314469
3079631304,Amazona oratrix,-96.518156,19.347976
2634613035,Amazona oratrix,-95.361301,18.3589
2630717339,Amazona oratrix,-100.683333,22.6
2630707540,Amazona oratrix,-97.766667,23.783333
2630697276,Amazona oratrix,-91.996667,17.858333
2629798606,Amazona oratrix,-98.895278,22.278611
2629797434,Amazona oratrix,-98.951667,22.227222
2629796788,Amazona oratrix,-98.951667,22.271389
2629796006,Amazona oratrix,-98.894722,22.278611
2629795719,Amazona oratrix,-98.953055,22.271111
2629795448,Amazona oratrix,-98.950555,22.2275
2629793580,Amazona oratrix,-98.895,22.280833
2620000030,Amazona oratrix,-88.583464,16.759315
2609123701,Amazona oratrix,-92.572863,18.452128
2609098983,Amazona oratrix,-93.108454,18.471951
2563569394,Amazona oratrix,-97.800305,22.913227
2563523315,Amazona oratrix,-97.90951,22.863761
2563519510,Amazona oratrix,-97.811524,22.953875
2563519315,Amazona oratrix,-97.865495,22.888473
2563519297,Amazona oratrix,-97.952919,22.810746
2563519258,Amazona oratrix,-97.861459,22.836414
2563518573,Amazona oratrix,-97.891199,22.945361
2563513113,Amazona oratrix,-97.857802,22.952471
2563511783,Amazona oratrix,-97.808436,22.94317
2563511230,Amazona oratrix,-97.976117,22.949719
2549995523,Amazona oratrix,-88.642611,17.686609
2429621379,Amazona oratrix,-97.75485,23.513261
2275308449,Amazona oratrix,-88.763496,16.1598
2275308363,Amazona oratrix,-88.763901,16.163401
2275307991,Amazona oratrix,-88.763298,16.1581
2275306828,Amazona oratrix,-88.733002,16.271799
2275306757,Amazona oratrix,-88.731903,16.2789
2275306724,Amazona oratrix,-88.733002,16.271799
2275306722,Amazona oratrix,-88.732201,16.2771
2275306706,Amazona oratrix,-88.732803,16.2736
2275306684,Amazona oratrix,-88.733002,16.271799
2275306296,Amazona oratrix,-88.732803,16.2736
2275306275,Amazona oratrix,-88.731697,16.280701
2275305604,Amazona oratrix,-88.731903,16.2789
2275305496,Amazona oratrix,-88.731697,16.280701
2275305487,Amazona oratrix,-88.732498,16.275299
2275305438,Amazona oratrix,-88.732803,16.2736
2275305395,Amazona oratrix,-88.732803,16.2736
2275289138,Amazona oratrix,-88.5868,16.370501
2275289096,Amazona oratrix,-88.5923,16.3752
2275289091,Amazona oratrix,-88.588203,16.371599
2275289081,Amazona oratrix,-88.5868,16.370501
2275289070,Amazona oratrix,-88.590897,16.374001
2275289047,Amazona oratrix,-88.588203,16.371599
2275289023,Amazona oratrix,-88.593697,16.3764
2275288985,Amazona oratrix,-88.590897,16.374001
2275288959,Amazona oratrix,-88.5923,16.3752
2275288958,Amazona oratrix,-88.5895,16.372801
2275288952,Amazona oratrix,-88.5923,16.3752
2275288936,Amazona oratrix,-88.588203,16.371599
2275288926,Amazona oratrix,-88.593697,16.3764
2275288923,Amazona oratrix,-88.5868,16.370501
2275288919,Amazona oratrix,-88.5868,16.370501
2275288897,Amazona oratrix,-88.593697,16.3764
2275288878,Amazona oratrix,-88.593697,16.3764
2275288861,Amazona oratrix,-88.590897,16.374001
2275288858,Amazona oratrix,-88.5923,16.3752
2275288857,Amazona oratrix,-88.5895,16.372801
2275288856,Amazona oratrix,-88.5868,16.370501
2275288850,Amazona oratrix,-88.593697,16.3764
2275288829,Amazona oratrix,-88.593697,16.3764
2275288819,Amazona oratrix,-88.588203,16.371599
2275288808,Amazona oratrix,-88.5895,16.372801
2275288777,Amazona oratrix,-88.588203,16.371599
2275288773,Amazona oratrix,-88.590897,16.374001
2275288768,Amazona oratrix,-88.5868,16.370501
2275288753,Amazona oratrix,-88.5868,16.370501
2275288746,Amazona oratrix,-88.590897,16.374001
2275288745,Amazona oratrix,-88.5895,16.372801
2275288738,Amazona oratrix,-88.588203,16.371599
2275288727,Amazona oratrix,-88.588203,16.371599
2275288723,Amazona oratrix,-88.5868,16.370501
2275288710,Amazona oratrix,-88.590897,16.374001
2275288703,Amazona oratrix,-88.588203,16.371599
2275288696,Amazona oratrix,-88.5895,16.372801
2275288640,Amazona oratrix,-88.5895,16.372801
2275288639,Amazona oratrix,-88.5868,16.370501
2275288633,Amazona oratrix,-88.5868,16.370501
2275288595,Amazona oratrix,-88.588203,16.371599
2275288540,Amazona oratrix,-88.5868,16.370501
2275288536,Amazona oratrix,-88.593697,16.3764
2275288447,Amazona oratrix,-88.5895,16.372801
2275288397,Amazona oratrix,-88.588203,16.371599
2275288393,Amazona oratrix,-88.5868,16.370501
2275288389,Amazona oratrix,-88.5895,16.372801
2275288370,Amazona oratrix,-88.590897,16.374001
