gbifID	verbatimScientificName	decimalLatitude	decimalLongitude			stateProvince	county	municipality	locality
3306365855	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306365841	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306365821	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306365813	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306365741	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306365734	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306365306	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306365182	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306365070	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306365050	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306364706	Amazona oratrix					Campeche	CARMEN		"Camino Palizada, 5.2 km al SE de Atasta, sobre la carretera federal Ciudad del Carmen-Villahermosa"
3306364644	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306364103	Amazona oratrix					Campeche	CARMEN		"Camino Palizada, 5.2 km al SE de Atasta, sobre la carretera federal Ciudad del Carmen-Villahermosa"
3306363823	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
